country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,21.5k,22.9k,23.6k,24.1k,25.3k,25.9k,25.6k,26.8k,27.3k,27k,29.8k,31k,29.7k,31.7k,33.9k,28k,34.4k,32.3k,37.3k,33.1k,31.8k,32k,32.6k,33.7k,34.3k,34.5k,34.5k,35.5k,36.7k,37.3k,28.2k,34.4k,40.1k,41.1k
Afghanistan,,,,,,,,,,,790,750,940,980,980,1090,1140,1300,1330,1570,1770,1740,1990,2140,2230,2300,2240,2360,2460,2620,2580,2160,2130,2220
Angola,3050,3370,1660,1520,1280,2390,2460,2870,2860,2670,2830,2940,3420,3500,3810,4340,4770,5390,5620,5870,5970,6130,6760,7010,7500,6760,6490,6560,6780,6850,5870,6800,7310,7280
Albania,2550,1880,1740,2110,2300,2710,3050,2780,3110,3550,3980,4440,4780,5130,5560,5980,6760,7490,8270,8670,9530,10.2k,10.4k,10.8k,11.4k,11.8k,12.3k,12.8k,13.7k,14.6k,14.3k,15.9k,19.1k,21k
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.1k,58.9k,63.8k,75.3k,
UAE,92.7k,88.3k,88.1k,86.3k,89.5k,94.7k,94.7k,97.4k,93.7k,86.1k,95.8k,93.2k,87.7k,91k,97.5k,101k,107k,102k,94.1k,84.2k,83.7k,87.7k,87.4k,85.6k,85.4k,72.1k,68.1k,68.5k,75.3k,77.3k,65k,67.3k,73.8k,76.7k
Argentina,6840,7710,8510,9350,9960,9710,10.3k,11.2k,11.5k,11.2k,11.2k,10.8k,9450,10.5k,10.8k,11.9k,14.3k,16k,16.9k,15.7k,17.2k,18.6k,19k,19.5k,19.1k,19.5k,19.7k,22.8k,23.5k,22.6k,21.8k,25.8k,29.1k,29.5k
Armenia,2660,2470,1250,1440,1590,1810,1980,2160,2310,2450,2610,2930,3400,3960,4560,5390,6360,7520,8290,7090,7450,7890,9300,10k,10.2k,10.2k,10.8k,12.5k,13.1k,15.2k,14.5k,15.5k,18.6k,20.8k
Antigua and Barbuda,11.7k,12.7k,13.1k,14.1k,15k,14.3k,15.3k,16.3k,16.9k,17.5k,18.3k,17.4k,17.7k,18.9k,20.3k,22.3k,25.5k,28.3k,28.4k,24.8k,22.7k,22.4k,20.9k,20.6k,20.7k,19.8k,19.9k,20.3k,23.4k,25.4k,22.3k,24.9k,28.6k,30.7k
Australia,16.8k,17.1k,17.6k,18.7k,19.7k,20.3k,21.4k,22.4k,23.6k,24.7k,25.8k,26.9k,28.3k,29.3k,30.9k,31.8k,33.5k,35k,36k,38.9k,37.8k,40.3k,41.6k,44.8k,45.7k,45.3k,46.1k,47k,48.6k,50.9k,52.8k,57.5k,63.4k,67.5k
Austria,19.6k,20.6k,21.3k,21.8k,22.7k,23.6k,24.5k,25.3k,26.5k,27.2k,29.1k,29.3k,31k,32.1k,33.7k,34.9k,37.8k,39.4k,41.7k,40.9k,42.4k,44.6k,46.5k,48k,48.9k,49.4k,52.7k,53.7k,56.4k,60.4k,59.2k,63.8k,70.6k,70.3k
Azerbaijan,5260,5330,4150,3230,2610,2310,2360,2520,2790,3120,3320,3680,4030,4480,4860,5970,8140,10k,11.6k,12.9k,13.8k,13.8k,15.1k,16.4k,17.1k,14.6k,13.7k,13.8k,14.6k,16k,15.1k,19.7k,21k,22.6k
Burundi,590,630,630,630,610,540,510,510,530,520,530,520,540,520,530,540,580,590,610,600,610,620,640,690,720,800,770,760,760,780,790,840,890,920
Belgium,18.7k,19.7k,20.4k,20.8k,22k,22.9k,23.3k,24.3k,25k,26k,28.5k,29.3k,30.8k,31.5k,32.5k,33.6k,35.8k,37.3k,38.8k,38.5k,40.4k,41k,43.3k,44.8k,45.9k,46.9k,49.1k,50.9k,53k,57.2k,56.3k,61.5k,68k,69.5k
Benin,1170,1230,1230,1290,1300,1370,1420,1490,1530,1590,1670,1740,1790,1830,1900,1940,2010,2120,2210,2210,2210,2260,2330,2500,2660,2710,2830,2880,2950,3130,3220,3430,3800,4090
Burkina Faso,570,620,620,640,640,680,760,790,840,890,900,940,960,1030,1070,1160,1240,1290,1350,1340,1410,1470,1530,1600,1590,1610,1800,1970,2010,2130,2300,2370,2530,2640
Bangladesh,950,1000,1060,1120,1170,1230,1290,1350,1410,1470,1550,1640,1710,1800,1930,2090,2300,2520,2720,2850,3030,3250,3680,3940,4190,4440,4790,5050,5710,6290,6920,7830,8790,9510
Bulgaria,6950,6480,6800,6900,7190,7560,6630,5570,6060,5730,6270,6970,7950,8550,9310,10.3k,11.1k,11.9k,13.7k,13.7k,14.6k,15.3k,16.1k,16.3k,17.4k,17.8k,19.4k,20.9k,22.1k,24.6k,24.9k,28.1k,33k,35.7k
Bahrain,24.9k,29k,29.8k,32.1k,31.6k,33.8k,35.1k,34.7k,36.2k,36.8k,44.6k,44.5k,42.6k,43.4k,44.3k,46k,47k,48.7k,48.5k,43.5k,44.9k,46k,54.9k,54.3k,51.8k,45.5k,44.9k,47.5k,49.3k,53.4k,49.8k,51.5k,59k,59.9k
Bahamas,19.5k,19k,18.7k,18.6k,19.3k,22.3k,24.5k,21.4k,22.3k,24.2k,25.4k,26.2k,27.1k,27k,27.7k,29.1k,30.3k,31.1k,31k,29.2k,29.4k,29.9k,30.3k,29.3k,30.1k,30.3k,30.4k,32.2k,32.4k,33.7k,24.7k,27.5k,32.7k,35.2k
Bosnia and Herzegovina,900,840,840,920,1130,1350,2120,2890,4090,4360,4540,4660,4960,5150,5910,6200,7080,7910,8900,9030,9230,9840,10.2k,10.9k,11.3k,11.9k,12.9k,13.5k,14.8k,16.4k,16.3k,18.1k,20.8k,22.3k
Belarus,5220,5330,4920,4650,4180,3840,4040,4590,5060,5340,5770,6220,6680,7370,8480,9650,11k,12.2k,13.7k,13.7k,15k,16.4k,17.7k,18.4k,18.5k,17.4k,17k,17.7k,19.3k,21.6k,23.9k,26.6k,27.2k,29.7k
